FacilityType,Risk_Clean,Zip_Clean,Month,InspectionType_Clean,Result_Clean
1,1,1,11,1,5
2,2,2,11,2,4
2,2,2,11,1,2
2,3,3,11,1,0
2,1,4,11,1,2
2,1,5,11,3,2
2,3,5,11,3,2
2,3,4,11,2,2
2,2,6,11,3,2
2,2,7,11,4,0
2,3,8,11,5,2
1,1,1,11,1,0
2,3,9,11,5,0
2,2,10,11,1,2
2,3,11,11,1,2
2,2,7,11,6,1
2,3,12,11,3,0
2,3,13,11,1,2
2,3,14,11,2,4
0,2,15,11,1,5
2,3,10,11,7,0
2,3,16,11,2,2
2,3,17,11,2,4
3,3,18,11,4,2
2,3,17,11,1,0
2,2,19,11,5,2
1,1,20,11,3,1
1,1,21,11,1,2
2,2,16,11,2,2
2,3,14,11,3,2
2,3,9,11,8,0
2,3,6,11,5,0
2,3,12,11,4,2
2,1,22,11,1,2
1,2,20,11,3,1
1,1,10,11,3,1
1,2,10,11,3,1
2,3,23,11,5,2
2,3,7,11,2,0
2,3,24,11,2,1
2,3,16,11,2,2
2,3,7,11,6,0
2,2,20,11,1,1
1,3,25,11,5,2
3,3,18,11,2,0
2,3,26,11,3,2
2,3,27,11,2,2
2,3,7,11,2,2
2,3,20,11,2,4
1,1,28,11,1,1
2,3,29,11,5,0
2,2,30,11,2,0
2,1,5,11,1,0
2,1,16,11,1,5
2,2,30,11,2,4
2,3,16,11,1,5
4,3,31,11,2,0
1,1,20,11,1,0
2,3,5,11,1,0
1,2,20,11,1,0
2,1,22,11,1,2
1,1,10,11,1,0
2,3,16,11,2,2
1,3,29,11,1,0
2,2,6,11,1,0
1,2,26,11,2,0
4,3,31,11,2,2
5,3,32,11,1,1
4,2,31,11,2,2
2,3,22,11,4,2
1,1,33,11,1,2
1,2,10,11,1,0
6,3,34,11,1,2
2,3,14,11,1,0
2,2,20,11,1,1
1,2,6,11,3,0
2,4,21,11,1,5
2,3,35,11,1,2
2,3,19,11,9,2
1,1,36,11,1,5
2,3,26,11,2,4
2,3,30,11,8,2
4,3,5,11,2,0
2,3,4,11,3,1
1,3,21,11,4,1
2,3,30,11,1,2
7,3,37,11,2,2
2,3,38,11,3,2
2,3,10,11,1,2
2,2,4,11,1,5
1,1,6,11,1,2
2,3,39,11,6,0
4,3,5,11,4,1
1,3,2,10,6,1
2,3,25,11,5,0
7,3,18,11,2,2
1,2,9,11,5,2
6,3,37,11,2,2
5,1,24,11,1,2
2,2,40,11,6,1
1,3,31,11,3,1
4,3,5,11,4,1
1,1,36,11,1,2
4,3,31,11,2,2
2,3,7,11,7,2
2,3,10,11,6,6
2,3,41,11,1,2
3,3,20,10,2,0
2,3,40,11,6,2
1,2,14,11,2,4
2,3,16,11,2,2
2,2,42,11,2,6
2,3,16,11,2,4
6,3,37,11,2,0
1,3,14,11,6,2
2,2,37,10,6,1
7,3,5,11,4,2
1,1,5,11,1,2
0,1,43,11,1,5
6,3,6,11,2,0
7,3,5,11,4,1
2,3,16,11,2,2
4,3,5,11,4,1
2,3,12,11,2,2
2,3,26,11,1,0
0,3,44,11,2,2
2,3,7,11,4,0
1,1,14,11,1,2
7,3,5,11,4,2
2,3,6,11,1,2
2,3,4,11,3,2
6,3,1,11,4,2
6,3,6,11,2,2
